Date,Month,Day,Year,Time_Numerical,Time
2015-04-13,4,13,15,0.63888889,15:20
2015-04-12,4,12,15,0.83611111,20:04
2015-04-10,4,10,15,0.39791667,9:33
2015-04-09,4,9,15,0.66180556,15:53
2015-04-07,4,7,15,0.62986111,15:07
2015-04-06,4,6,15,0.6375,15:18
2015-04-03,4,3,15,0.41736111,10:01
2015-04-02,4,2,15,0.76319444,18:19
2015-03-30,3,30,15,0.60694444,14:34
2015-03-28,3,28,15,0.52152778,12:31
2015-03-27,3,27,15,0.8625,20:42
2015-03-21,3,21,15,0.49791667,11:57
2015-03-20,3,20,15,0.4625,11:06
2015-03-19,3,19,15,0.47222222,11:20
2015-03-18,3,18,15,0.45555556,10:56
2015-03-17,3,17,15,0.70138889,16:50
2015-03-16,3,16,15,0.49027778,11:46
2015-03-13,3,13,15,0.57430556,13:47
2015-03-10,3,10,15,0.91527778,21:58
2015-03-09,3,9,15,0.68402778,16:25
2015-03-08,3,8,15,0.64027778,15:22
2015-02-28,2,28,15,0.58541667,14:03
2015-02-26,2,26,15,0.76527778,18:22
2015-02-26,2,26,15,0.68402778,16:25
2015-02-25,2,25,15,0.85833333,20:36
2015-02-24,2,24,15,0.67777778,16:16
2015-02-23,2,23,15,0.72847222,17:29
2015-02-20,2,20,15,0.51458333,12:21
2015-02-19,2,19,15,0.60208333,14:27
2015-02-18,2,18,15,0.92916667,22:18
2015-02-17,2,17,15,0.63472222,15:14
2015-02-16,2,16,15,0.86111111,20:40
2015-02-14,2,14,15,0.55972222,13:26
2015-02-13,2,13,15,0.52708333,12:39
2015-02-12,2,12,15,0.69166667,16:36
2015-02-10,2,10,15,0.56180556,13:29
2015-02-09,2,9,15,0.73194444,17:34
2015-02-09,2,9,15,0.68888889,16:32
2015-02-06,2,6,15,0.54027778,12:58
2015-02-04,2,4,15,0.90555556,21:44
2015-02-03,2,3,15,0.57777778,13:52
2015-02-02,2,2,15,0.49236111,11:49
2015-01-30,1,30,15,0.5,12:00
2015-01-29,1,29,15,0.55486111,13:19
2015-01-28,1,28,15,0.89027778,21:22
2015-01-27,1,27,15,0.56041667,13:27
2015-01-26,1,26,15,0.67847222,16:17
2015-01-23,1,23,15,0.50277778,12:04
2015-01-22,1,22,15,0.59444444,14:16
2015-01-21,1,21,15,0.90902778,21:49
2015-01-20,1,20,15,0.57986111,13:55
2015-01-19,1,19,15,0.82638889,19:50
2015-01-18,1,18,15,0.58402778,14:01
2015-01-16,1,16,15,0.45416667,10:54
2015-01-15,1,15,15,0.62916667,15:06
2015-01-14,1,14,15,0.89652778,21:31
2015-01-13,1,13,15,0.67430556,16:11
2015-01-12,1,12,15,0.67430556,16:11
2015-01-11,1,11,15,0.74583333,17:54
2015-01-10,1,10,15,0.56180556,13:29
2015-01-09,1,9,15,0.50069444,12:01
2015-01-08,1,8,15,0.63819444,15:19
2015-01-07,1,7,15,0.62916667,15:06
2015-01-06,1,6,15,0.57291667,13:45
2015-01-05,1,5,15,0.68541667,16:27
2015-01-02,1,2,15,0.68888889,16:32
2016-12-30,12,30,16,0.548611111,13:10
2016-12-29,12,29,16,0.766666667,18:24
2016-12-13,12,13,16,0.797916667,19:09
2016-12-12,12,12,16,0.641666667,15:24
2016-12-09,12,9,16,0.561111111,13:28
2016-12-08,12,8,16,0.586805556,14:05
2016-12-06,12,6,16,0.810416667,19:27
2016-12-05,12,5,16,0.502083333,12:03
2016-12-04,12,4,16,0.532638889,12:47
2016-12-02,12,2,16,0.654861111,15:43
2016-12-01,12,1,16,0.69375,16:39
2016-11-16,11,16,16,0.822916667,19:45
2016-11-10,11,10,16,0.679166667,16:18
2016-11-05,11,5,16,0.863194444,20:43
2016-10-22,10,22,16,0.599305556,14:23
2016-10-21,10,21,16,0.739583333,17:45
2016-10-20,10,20,16,0.688194444,16:31
2016-10-17,10,17,16,0.270833333,6:30
2016-10-14,10,14,16,0.579166667,13:54
2016-10-04,10,4,16,0.833333333,20:00
2016-09-30,9,30,16,0.502083333,12:03
2016-09-29,9,29,16,0.679861111,16:19
2016-09-28,9,28,16,0.390277778,9:22
2016-09-27,9,27,16,0.840972222,20:11
2016-09-24,9,24,16,0.663888889,15:56
2016-09-23,9,23,16,0.374305556,8:59
2016-09-22,9,22,16,0.679861111,16:19
2016-09-18,9,18,16,0.718055556,17:14
2016-09-16,9,16,16,0.692361111,16:37
2016-09-15,9,15,16,0.454166667,10:54
2016-09-12,9,12,16,0.763888889,18:20
2016-09-08,9,8,16,0.452777778,10:52
2016-09-07,9,7,16,0.600694444,14:25
2016-09-03,9,3,16,0.493055556,11:50
2016-08-27,8,27,16,0.811805556,19:29
2016-08-25,8,25,16,0.605555556,14:32
2016-08-23,8,23,16,0.706944444,16:58
2016-08-22,8,22,16,0.530555556,12:44
2016-08-16,8,16,16,0.736111111,17:40
2016-08-15,8,15,16,0.853472222,20:29
2016-07-29,7,29,16,0.748611111,17:58
2016-07-26,7,26,16,0.49375,11:51
2016-07-25,7,25,16,0.463194444,11:07
2016-07-24,7,24,16,0.675,16:12
2016-07-23,7,23,16,0.490277778,11:46
2016-07-21,7,21,16,0.472222222,11:20
2016-07-20,7,20,16,0.283333333,6:48
2016-07-18,7,18,16,0.579166667,13:54
2016-07-17,7,17,16,0.443055556,10:38
2016-07-16,7,16,16,0.525694444,12:37
2016-07-15,7,15,16,0.422916667,10:09
2016-07-14,7,14,16,0.309722222,7:26
2016-07-13,7,13,16,0.342361111,8:13
2016-07-12,7,12,16,0.405555556,9:44
2016-07-11,7,11,16,0.776388889,18:38
2016-07-10,7,10,16,0.40625,9:45
2016-07-08,7,8,16,0.40625,9:45
2016-07-07,7,7,16,0.649305556,15:35
2016-07-05,7,5,16,0.790972222,18:59
2016-07-03,7,3,16,0.440277778,10:34
2016-07-01,7,1,16,0.302777778,7:16
2016-06-30,6,30,16,0.393055556,9:26
2016-06-29,6,29,16,0.508333333,12:12
2016-06-28,6,28,16,0.526388889,12:38
2016-06-27,6,27,16,0.325,7:48
2016-06-25,6,25,16,0.404166667,9:42
2016-06-15,6,15,16,0.429861111,10:19
2016-06-10,6,10,16,0.595833333,14:18
2016-06-09,6,9,16,0.443055556,10:38
2016-06-04,6,4,16,0.453472222,10:53
2016-06-02,6,2,16,0.433333333,10:24
2016-05-27,5,27,16,0.434027778,10:25
2016-05-26,5,26,16,0.424305556,10:11
2016-05-24,5,24,16,0.372222222,8:56
2016-05-19,5,19,16,0.419444444,10:04
2016-05-17,5,17,16,0.434027778,10:25
2016-05-12,5,12,16,0.668055556,16:02
2016-05-11,5,11,16,0.795138889,19:05
2016-05-07,5,7,16,0.56875,13:39
2016-05-05,5,5,16,0.470833333,11:18
2016-05-04,5,4,16,0.811805556,19:29
2016-05-02,5,2,16,0.824305556,19:47
2016-04-28,4,28,16,0.422222222,10:08
2016-04-25,4,25,16,0.579166667,13:54
2016-04-21,4,21,16,0.378472222,9:05
2016-04-20,4,20,16,0.817361111,19:37
2016-04-18,4,18,16,0.809027778,19:25
2016-04-17,4,17,16,0.379166667,9:06
2016-04-16,4,16,16,0.504861111,12:07
2016-04-14,4,14,16,0.532638889,12:47
2016-04-13,4,13,16,0.829166667,19:54
2016-04-11,4,11,16,0.826388889,19:50
2016-04-08,4,8,16,0.347916667,8:21
2016-04-07,4,7,16,0.49375,11:51
2016-04-06,4,6,16,0.811805556,19:29
2016-04-04,4,4,16,0.834722222,20:02
2016-04-02,4,2,16,0.591666667,14:12
2016-04-01,4,1,16,0.582638889,13:59
2016-03-31,3,31,16,0.865277778,20:46
2016-03-25,3,25,16,0.545833333,13:06
2016-03-19,3,19,16,0.639583333,15:21
2016-03-18,3,18,16,0.522222222,12:32
2016-03-16,3,16,16,0.669444444,16:04
2016-03-15,3,15,16,0.838194444,20:07
2016-03-11,3,11,16,0.448611111,10:46
2016-03-10,3,10,16,0.482638889,11:35
2016-03-03,3,3,16,0.518055556,12:26
2016-03-02,3,2,16,0.836805556,20:05
2016-03-01,3,1,16,0.751388889,18:02
2016-02-29,2,29,16,0.834722222,20:02
2016-02-27,2,27,16,0.501388889,12:02
2016-02-25,2,25,16,0.541666667,13:00
2016-02-24,2,24,16,0.838194444,20:07
2016-02-22,2,22,16,0.825,19:48
2016-02-21,2,21,16,0.640972222,15:23
2016-02-18,2,18,16,0.493055556,11:50
2016-02-17,2,17,16,0.836805556,20:05
2016-02-16,2,16,16,0.875,21:00
2016-02-15,2,15,16,0.90625,21:45
2016-02-10,2,10,16,0.804166667,19:18
2016-02-07,2,7,16,0.539583333,12:57
2016-02-05,2,5,16,0.738194444,17:43
2016-02-03,2,3,16,0.8375,20:06
2016-02-02,2,2,16,0.8625,20:42
2016-02-01,2,1,16,0.834722222,20:02
2016-01-31,1,31,16,0.546527778,13:07
2016-01-28,1,28,16,0.469444444,11:16
2016-01-27,1,27,16,0.840972222,20:11
2016-01-26,1,26,16,0.863194444,20:43
2016-01-25,1,25,16,0.839583333,20:09
2016-01-22,1,22,16,0.826388889,19:50
2016-01-21,1,21,16,0.433333333,10:24
2016-01-20,1,20,16,0.465972222,11:11
2016-01-19,1,19,16,0.883333333,21:12
2016-01-18,1,18,16,0.78125,18:45
2016-01-16,1,16,16,0.486111111,11:40
2016-01-15,1,15,16,0.441666667,10:36
2016-01-14,1,14,16,0.750694444,18:01
2016-01-13,1,13,16,0.470833333,11:18
2016-01-11,1,11,16,0.860416667,20:39
2016-01-10,1,10,16,0.7625,18:18
2016-01-09,1,9,16,0.805555556,19:20
2016-01-08,1,8,16,0.85625,20:33
2016-01-07,1,7,16,0.513194444,12:19
2016-01-06,1,6,16,0.46875,11:15
2016-01-05,1,5,16,0.88125,21:09
2016-01-04,1,4,16,0.511111111,12:16
2017-12-19,12,19,17,0.735416667,17:39
2017-12-18,12,18,17,0.554861111,13:19
2017-12-14,12,14,17,0.588888889,14:08
2017-12-11,12,11,17,0.61875,14:51
2017-12-07,12,7,17,0.663194444,15:55
2017-12-06,12,6,17,0.501388889,12:02
2017-12-05,12,5,17,0.526388889,12:38
2017-11-30,11,30,17,0.556944444,13:22
2017-11-29,11,29,17,0.530555556,12:44
2017-11-21,11,21,17,0.621527778,14:55
2017-11-10,11,10,17,0.599305556,14:23
2017-11-07,11,7,17,0.739583333,17:45
2017-10-31,10,31,17,0.600694444,14:25
2017-10-30,10,30,17,0.761805556,18:17
2017-10-27,10,27,17,0.475,11:24
2017-10-24,10,24,17,0.605555556,14:32
2017-10-23,10,23,17,0.731944444,17:34
2017-10-20,10,20,17,0.488888889,11:44
2017-10-17,10,17,17,0.625,15:00
2017-10-13,10,13,17,0.620833333,14:54
2017-10-10,10,10,17,0.527777778,12:40
2017-10-09,10,9,17,0.734027778,17:37
2017-10-06,10,6,17,0.740972222,17:47
2017-09-29,9,29,17,0.677083333,16:15
2017-09-26,9,26,17,0.542361111,13:01
2017-09-25,9,25,17,0.746527778,17:55
2017-09-12,9,12,17,0.727777778,17:28
2017-09-11,9,11,17,0.780555556,18:44
2017-09-08,9,8,17,0.650694444,15:37
2017-09-06,9,6,17,0.747222222,17:56
2017-08-31,8,31,17,0.767361111,18:25
2017-08-25,8,25,17,0.7375,17:42
2017-08-24,8,24,17,0.584722222,14:02
2017-08-22,8,22,17,0.603472222,14:29
2017-08-10,8,10,17,0.465972222,11:11
2017-08-07,8,7,17,0.644444444,15:28
2017-08-06,8,6,17,0.664583333,15:57
2017-07-30,7,30,17,0.468055556,11:14
2017-07-27,7,27,17,0.529861111,12:43
2017-07-25,7,25,17,0.694444444,16:40
2017-07-24,7,24,17,0.709027778,17:01
2017-07-22,7,22,17,0.724305556,17:23
2017-07-21,7,21,17,0.623611111,14:58
2017-07-20,7,20,17,0.653472222,15:41
2017-07-19,7,19,17,0.622916667,14:57
2017-07-17,7,17,17,0.734027778,17:37
2017-07-16,7,16,17,0.590277778,14:10
2017-07-14,7,14,17,0.776388889,18:38
2017-07-13,7,13,17,0.6875,16:30
2017-07-11,7,11,17,0.694444444,16:40
2017-07-03,7,3,17,0.755555556,18:08
2017-07-02,7,2,17,0.511111111,12:16
2017-06-30,6,30,17,0.607638889,14:35
2017-06-29,6,29,17,0.60625,14:33
2017-06-27,6,27,17,0.523611111,12:34
2017-06-26,6,26,17,0.540277778,12:58
2017-06-25,6,25,17,0.488888889,11:44
2017-06-23,6,23,17,0.477083333,11:27
2017-06-22,6,22,17,0.579166667,13:54
2017-06-21,6,21,17,0.507638889,12:11
2017-06-20,6,20,17,0.649305556,15:35
2017-06-14,6,14,17,0.559722222,13:26
2017-06-11,6,11,17,0.398611111,9:34
2017-06-10,6,10,17,0.731944444,17:34
2017-06-09,6,9,17,0.533333333,12:48
2017-06-06,6,6,17,0.495138889,11:53
2017-06-05,6,5,17,0.657638889,15:47
2017-06-02,6,2,17,0.46875,11:15
2017-05-27,5,27,17,0.415972222,9:59
2017-05-25,5,25,17,0.504166667,12:06
2017-05-22,5,22,17,0.867361111,20:49
2017-05-19,5,19,17,0.499305556,11:59
2017-05-12,5,12,17,0.520833333,12:30
2017-05-10,5,10,17,0.473611111,11:22
2017-05-01,5,1,17,0.499305556,11:59
2017-04-28,4,28,17,0.570833333,13:42
2017-04-24,4,24,17,0.46875,11:15
2017-04-22,4,22,17,0.452777778,10:52
2017-04-21,4,21,17,0.399305556,9:35
2017-04-17,4,17,17,0.46875,11:15
2017-04-14,4,14,17,0.432638889,10:23
2017-04-13,4,13,17,0.742361111,17:49
2017-04-09,4,9,17,0.489583333,11:45
2017-04-03,4,3,17,0.506944444,12:10
2017-04-01,4,1,17,0.3875,9:18
2017-03-31,3,31,17,0.438888889,10:32
2017-03-28,3,28,17,0.472222222,11:20
2017-03-27,3,27,17,0.479166667,11:30
2017-03-19,3,19,17,0.689583333,16:33
2017-03-17,3,17,17,0.40625,9:45
2017-03-10,3,10,17,0.39375,9:27
2017-03-08,3,8,17,0.470138889,11:17
2017-03-06,3,6,17,0.46875,11:15
2017-03-05,3,5,17,0.58125,13:57
2017-03-04,3,4,17,0.532638889,12:47
2017-03-03,3,3,17,0.406944444,9:46
2017-02-27,2,27,17,0.472222222,11:20
2017-02-26,2,26,17,0.450694444,10:49
2017-02-25,2,25,17,0.453472222,10:53
2017-02-24,2,24,17,0.461111111,11:04
2017-02-22,2,22,17,0.468055556,11:14
2017-02-17,2,17,17,0.477083333,11:27
2017-02-15,2,15,17,0.469444444,11:16
2017-02-10,2,10,17,0.415277778,9:58
2017-02-07,2,7,17,0.472222222,11:20
2017-02-05,2,5,17,0.505555556,12:08
2017-02-04,2,4,17,0.423611111,10:10
2017-02-03,2,3,17,0.777777778,18:40
2017-01-31,1,31,17,0.469444444,11:16
2017-01-28,1,28,17,0.426388889,10:14
2017-01-27,1,27,17,0.482638889,11:35
2017-01-25,1,25,17,0.474305556,11:23
2017-01-23,1,23,17,0.46875,11:15
2017-01-21,1,21,17,0.611111111,14:40
2017-01-20,1,20,17,0.500694444,12:01
2017-01-18,1,18,17,0.469444444,11:16
2017-01-16,1,16,17,0.818055556,19:38
2017-01-14,1,14,17,0.550694444,13:13
2017-01-13,1,13,17,0.501388889,12:02
2017-01-11,1,11,17,0.46875,11:15
2017-01-10,1,10,17,0.745833333,17:54
2017-01-09,1,9,17,0.886111111,21:16
2017-01-08,1,8,17,0.443055556,10:38
2017-01-06,1,6,17,0.570833333,13:42
2017-01-05,1,5,17,0.745138889,17:53
2017-01-04,1,4,17,0.469444444,11:16
2017-01-02,1,2,17,0.495833333,11:54
2018-09-12,9,12,18,0.315972222,7:35
2018-09-10,9,10,18,0.383333333,9:12
2018-09-07,9,7,18,0.504166667,12:06
2018-09-06,9,6,18,0.480555556,11:32
2018-09-05,9,5,18,0.659027778,15:49
2018-08-27,8,27,18,0.481944444,11:34
2018-08-10,8,10,18,0.319444444,7:40
2018-08-09,8,9,18,0.317361111,7:37
2018-08-08,8,8,18,0.354166667,8:30
2018-08-06,8,6,18,0.568055556,13:38
2018-08-03,8,3,18,0.290277778,6:58
2018-08-02,8,2,18,0.325,7:48
2018-08-01,8,1,18,0.323611111,7:46
2018-07-31,7,31,18,0.322222222,7:44
2018-07-30,7,30,18,0.33125,7:57
2018-07-27,7,27,18,0.316666667,7:36
2018-07-26,7,26,18,0.292361111,7:01
2018-07-25,7,25,18,0.285416667,6:51
2018-07-24,7,24,18,0.284027778,6:49
2018-07-23,7,23,18,0.297916667,7:09
2018-07-20,7,20,18,0.291666667,7:00
2018-07-19,7,19,18,0.297916667,7:09
2018-07-18,7,18,18,0.320833333,7:42
2018-07-17,7,17,18,0.311111111,7:28
2018-07-16,7,16,18,0.324305556,7:47
2018-07-13,7,13,18,0.316666667,7:36
2018-07-11,7,11,18,0.324305556,7:47
2018-07-10,7,10,18,0.327777778,7:52
2018-07-09,7,9,18,0.320833333,7:42
2018-07-06,7,6,18,0.603472222,14:29
2018-07-05,7,5,18,0.365277778,8:46
2018-07-03,7,3,18,0.291666667,7:00
2018-07-02,7,2,18,0.304166667,7:18
2018-06-29,6,29,18,0.303472222,7:17
2018-06-27,6,27,18,0.303472222,7:17
2018-06-26,6,26,18,0.324305556,7:47
2018-06-25,6,25,18,0.35,8:24
2018-06-22,6,22,18,0.330555556,7:56
2018-06-21,6,21,18,0.309027778,7:25
2018-06-20,6,20,18,0.304166667,7:18
2018-06-19,6,19,18,0.343055556,8:14
2018-06-18,6,18,18,0.366666667,8:48
2018-06-11,6,11,18,0.457638889,10:59
2018-06-07,6,7,18,0.379861111,9:07
2018-06-05,6,5,18,0.5875,14:06
2018-06-01,6,1,18,0.527083333,12:39
2018-05-31,5,31,18,0.316666667,7:36
2018-05-30,5,30,18,0.315277778,7:34
2018-05-29,5,29,18,0.320833333,7:42
2018-05-25,5,25,18,0.338888889,8:08
2018-05-24,5,24,18,0.33125,7:57
2018-05-23,5,23,18,0.31875,7:39
2018-05-22,5,22,18,0.301388889,7:14
2018-05-17,5,17,18,0.333333333,8:00
2018-05-16,5,16,18,0.338194444,8:07
2018-05-15,5,15,18,0.325694444,7:49
2018-05-11,5,11,18,0.554166667,13:18
2018-05-10,5,10,18,0.321527778,7:43
2018-05-09,5,9,18,0.318055556,7:38
2018-05-08,5,8,18,0.330555556,7:56
2018-05-07,5,7,18,0.329166667,7:54
2018-05-04,5,4,18,0.586805556,14:05
2018-05-03,5,3,18,0.330555556,7:56
2018-05-02,5,2,18,0.370833333,8:54
2018-05-01,5,1,18,0.599305556,14:23
2018-04-27,4,27,18,0.504166667,12:06
2018-04-26,4,26,18,0.606944444,14:34
2018-04-25,4,25,18,0.747916667,17:57
2018-04-24,4,24,18,0.604166667,14:30
2018-04-20,4,20,18,0.5625,13:30
2018-04-19,4,19,18,0.60625,14:33
2018-04-18,4,18,18,0.743055556,17:50
2018-04-17,4,17,18,0.605555556,14:32
2018-04-12,4,12,18,0.620833333,14:54
2018-04-11,4,11,18,0.741666667,17:48
2018-04-10,4,10,18,0.61875,14:51
2018-04-06,4,6,18,0.563194444,13:31
2018-04-05,4,5,18,0.614583333,14:45
2018-04-04,4,4,18,0.748611111,17:58
2018-04-03,4,3,18,0.603472222,14:29
2018-03-28,3,28,18,0.750694444,18:01
2018-03-27,3,27,18,0.597222222,14:20
2018-03-22,3,22,18,0.620138889,14:53
2018-03-19,3,19,18,0.534027778,12:49
2018-03-01,3,1,18,0.740972222,17:47
2018-02-28,2,28,18,0.543055556,13:02
2018-02-20,2,20,18,0.8,19:12
2018-01-30,1,30,18,0.724305556,17:23
2018-01-25,1,25,18,0.749305556,17:59
2018-01-24,1,24,18,0.690277778,16:34
2018-01-23,1,23,18,0.751388889,18:02
2018-01-17,1,17,18,0.626388889,15:02
2018-01-10,1,10,18,0.652083333,15:39
2018-01-09,1,9,18,0.75,18:00
2018-01-05,1,5,18,0.642361111,15:25
2018-01-03,1,3,18,0.600694444,14:25
